Datum roka;Ura;Rok za prijavo;Predmet;Predavalnica;Za način izvedbe;Komisijski;Št. prijav;Opombe;Zaht. obvez.;Anketa
29.01.2020;09:00:00;24.01.2020;Daljinsko zaznavanje I - B - GIG - UNI;.;redni študij;NE;0;izpit bo v kabinetu 606 ;NE;DA
30.01.2020;09:00:00;25.01.2020;Programska orodja v geodeziji - B - GIG - UNI;.;redni študij;NE;0;izpit bo v kabinetu 606 ;NE;DA
6.02.2020;09:00:00;1.02.2020;Osnove obdelave podatkov - B - GIG;.;redni in izredni študij;NE;0;izpit bo v kabinetu 606 ;NE;DA
12.02.2020;09:00:00;7.02.2020;Daljinsko zaznavanje I - B - GIG - UNI;.;redni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
13.02.2020;09:00:00;8.02.2020;Programska orodja v geodeziji - B - GIG - UNI;.;redni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
20.02.2020;09:00:00;15.02.2020;Osnove obdelave podatkov - B - GIG;.;redni in izredni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
10.06.2020;09:00:00;5.06.2020;Geoinformatika III - B II GIG;.;redni študij;NE;0;izpit bo v kabinetu 606 ;NE;DA
24.06.2020;09:00:00;19.06.2020;Geoinformatika III - B II GIG;.;redni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
24.08.2020;09:00:00;19.08.2020;Daljinsko zaznavanje I - B - GIG - UNI;.;redni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
31.08.2020;09:00:00;26.08.2020;Geoinformatika III - B II GIG;.;redni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
7.09.2020;09:00:00;2.09.2020;Osnove obdelave podatkov - B - GIG;.;redni in izredni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
11.09.2020;09:00:00;6.09.2020;Programska orodja v geodeziji - B - GIG - UNI;.;redni študij;DA;0;izpit bo v kabinetu 606 ;NE;DA
