Start Date,Start Time,Location,Description,Subject,All day event
2022-01-26,09:00:00,P-III/4,,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
2022-01-27,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
2022-02-03,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
2022-02-09,09:00:00,P-III/4,,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
2022-02-10,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
2022-02-17,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
2022-06-15,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Geoinformatika III - B II GIG,False
2022-06-16,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Obdelava podatkov - B - TUN,False
2022-06-29,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Geoinformatika III - B II GIG,False
2022-06-30,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Obdelava podatkov - B - TUN,False
2022-08-18,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Geoinformatika III - B II GIG,False
2022-08-22,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Daljinsko zaznavanje I - B - GIG - UNI,False
2022-08-29,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Obdelava podatkov - B - TUN,False
2022-08-31,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Osnove obdelave podatkov - B - GIG,False
2022-09-09,09:00:00,,izpit bo v kabinetu 606 ,Izpit - Programska orodja v geodeziji - B - GIG - UNI,False
