Volume,Issue,Paper
2,1,18
2,2,13
2,3,14
2,4,14
2,5,11
2,6,12
2,7,12
2,8,9
2,9,14
2,10,8
2,11,10
1,1,3
1,2,6
1,3,26
1,4,39
4,1,15
4,2,10
4,3,12
4,4,14
4,5,18
4,6,17
4,7,15
4,8,16
4,9,16
4,10,19
4,11,18
3,1,11
3,2,10
3,3,13
3,4,10
3,5,12
3,6,11
3,7,13
3,8,14
3,9,16
3,10,10
3,11,12
3,12,9
2,12,9
5,1,24
5,2,24
5,3,24
5,4,25
5,5,27
5,6,25
5,7,23
5,8,23
5,9,25
5,10,30
5,11,35
7,1,56
7,2,48
7,3,50
7,4,70
7,5,67
7,6,75
7,7,55
7,8,69
7,9,73
7,10,76
7,11,65
6,1,41
6,2,40
6,3,41
6,4,45
6,5,52
6,6,55
6,7,39
6,8,49
6,9,54
6,10,49
6,11,62
6,12,56
13,1,158
13,2,172
13,3,208
13,4,292
13,5,214
13,6,183
13,7,179
13,8,196
13,9,260
12,1,201
12,2,140
12,3,248
12,4,156
12,5,153
12,6,152
12,7,177
12,8,126
12,9,180
12,10,162
12,11,208
12,12,164
12,13,107
12,14,170
12,15,164
12,16,158
12,17,199
12,18,245
12,19,162
12,20,196
12,21,206
12,22,172
12,23,161
12,24,186
11,1,102
11,2,110
11,3,158
11,4,102
11,5,129
11,6,134
11,7,155
11,8,102
11,9,150
11,10,115
11,11,137
11,12,113
11,13,123
11,14,106
11,15,101
11,16,119
11,17,114
11,18,116
11,19,146
11,20,127
11,21,136
11,22,124
11,23,164
11,24,173
10,1,153
10,2,201
10,3,134
10,4,170
10,5,148
10,6,171
10,7,187
10,8,156
10,9,180
10,10,169
10,11,189
10,12,212
9,1,98
9,2,86
9,3,115
9,4,96
9,5,112
9,6,128
9,7,125
9,8,108
9,9,100
9,10,115
9,11,119
9,12,134
8,1,80
8,2,83
8,3,104
8,4,89
8,5,84
8,6,90
8,7,83
8,8,77
8,9,96
8,10,93
8,11,91
8,12,68
