,Description,Subject,All day event,Start Date,Show time as
0,B I - GIG - UNI 1. letnik,Izpit - Programska orodja v geodeziji,True,2018-01-25,3
1,B I - GIG - UNI 2. letnik,Izpit - Osnove obdelave podatkov,True,2018-02-01,3
2,B I - GIG - UNI 2. letnik,Izpit - Avtomatska obdelava podatkov,True,2018-02-02,3
3,B I - GIG - UNI 3. letnik,Izpit - Daljinsko zaznavanje I,True,2018-01-30,3
4,B I - TUN - VSŠ 2. letnik,Izpit - Avtomatska obdelava podatkov,True,2018-02-02,3
5,B I - TUN - VSŠ 2. letnik,Izpit - Obdelava podatkov,True,2018-01-29,3
6,B I - TUN - VSŠ Izb. pred.,Izpit - Uporabno daljinsko zaznavanje,True,2018-02-12,3
7,B II - GIG 1. letnik,Izpit - Analize prostorskih podatkov,True,2018-06-21,3
8,B II - GIG Izb. pred.,Izpit - Geoinformatika III,True,2018-06-14,3
9,B I - GIG - UNI 1. letnik,Izpit - Programska orodja v geodeziji,True,2018-02-09,3
10,B I - GIG - UNI 2. letnik,Izpit - Osnove obdelave podatkov,True,2018-02-15,3
11,B I - GIG - UNI 2. letnik,Izpit - Avtomatska obdelava podatkov,True,2018-07-02,3
12,B I - GIG - UNI 3. letnik,Izpit - Daljinsko zaznavanje I,True,2018-02-13,3
13,B I - TUN - VSŠ 2. letnik,Izpit - Avtomatska obdelava podatkov,True,2018-07-02,3
14,B I - TUN - VSŠ 2. letnik,Izpit - Obdelava podatkov,True,2018-02-12,3
16,B II - GIG 1. letnik,Izpit - Analize prostorskih podatkov,True,2018-07-05,3
17,B II - GIG Izb. pred.,Izpit - Geoinformatika III,True,2018-06-28,3
18,B I - GIG - UNI 1. letnik,Izpit - Programska orodja v geodeziji,True,2018-09-03,3
19,B I - GIG - UNI 2. letnik,Izpit - Osnove obdelave podatkov,True,2018-09-03,3
20,B I - GIG - UNI 2. letnik,Izpit - Avtomatska obdelava podatkov,True,2018-09-06,3
21,B I - GIG - UNI 3. letnik,Izpit - Daljinsko zaznavanje I,True,2018-09-10,3
22,B I - TUN - VSŠ 2. letnik,Izpit - Avtomatska obdelava podatkov,True,2018-09-06,3
23,B I - TUN - VSŠ 2. letnik,Izpit - Obdelava podatkov,True,2018-08-29,3
25,B II - GIG 1. letnik,Izpit - Analize prostorskih podatkov,True,2018-09-10,3
26,B II - GIG Izb. pred.,Izpit - Geoinformatika III,True,2018-08-31,3
